7 5 1,0 1,0
7 5 1,0 0,0
7 5 1,1 0,1;0
7 5 1,1 1,1;0
7 6 1,0 1,0
7 6 1,0 0,0
7 6 1,1 0,1;0
7 6 1,1 1,1;0
8 5 1,0 1,1;0
8 5 1,0 0,#t
8 5 1,1 0,1
8 5 1,1 1,1
8 6 1,0 1,1;0
8 6 1,0 0,#t
8 6 1,1 0,1
8 6 1,1 1,1
9 5 1,0 1,#t
9 5 1,0 0,#t
9 5 1,1 0,#t
9 5 1,1 1,#t
9 6 1,0 1,#t
9 6 1,0 0,#t
9 6 1,1 0,#t
9 6 1,1 1,#t
10 5 1,0 1,0
10 5 1,0 0,0
10 5 1,1 0,1;0
10 5 1,1 1,1;0
10 6 1,0 1,0
10 6 1,0 0,0
10 6 1,1 0,1;0
10 6 1,1 1,1;0
11 5 1,0 1,1;0
11 5 1,0 0,#t
11 5 1,1 0,1
11 5 1,1 1,1
11 6 1,0 1,1;0
11 6 1,0 0,#t
11 6 1,1 0,1
11 6 1,1 1,1
17 5 1,0,#t
17 5 1,1,#t
17 6 1,0,#t
17 6 1,1,#t
18 5 1,0,#t
18 5 1,1,#t
18 6 1,0,#t
18 6 1,1,#t
30 0 0,0,0
30 0 0,1,1
30 0 1,0,#t
30 0 1,1,#t
32 0 0,0,0
32 0 0,1,1
32 0 1,0,#t
32 0 1,1,#t
1 2,0 1 0,#t
1 2,0 1 1,#t
1 2,1 1 0,#t
1 2,1 1 1,#t
1 2,1 0 0,#t
1 2,0 0 0,#t
1 2,0 0 1,#t
1 2,1 0 1,#t
1 3,0 1 0,1
1 3,0 1 1,1;0
1 3,1 1 0,1
1 3,1 1 1,1
1 3,1 0 0,0
1 3,0 0 0,0
1 3,0 0 1,1;0
1 3,1 0 1,0
1 4,0 1 0,#t
1 4,0 1 1,#t
1 4,1 1 0,#t
1 4,1 1 1,#t
1 4,1 0 0,#t
1 4,0 0 0,#t
1 4,0 0 1,#t
1 4,1 0 1,#t
1 5 1,0 1,#t
1 5 1,0 0,#t
1 5 1,1 0,#t
1 5 1,1 1,#t
1 6 1,0 1,#t
1 6 1,0 0,#t
1 6 1,1 0,#t
1 6 1,1 1,#t
2 2,0 1 0,#t
2 2,0 1 1,#t
2 2,1 1 0,#t
2 2,1 1 1,#t
2 2,1 0 0,#t
2 2,0 0 0,#t
2 2,0 0 1,#t
2 2,1 0 1,#t
2 3,0 1 0,1
2 3,0 1 1,1;0
2 3,1 1 0,1
2 3,1 1 1,1
2 3,1 0 0,0
2 3,0 0 0,0
2 3,0 0 1,1;0
2 3,1 0 1,0
2 4,0 1 0,#t
2 4,0 1 1,#t
2 4,1 1 0,#t
2 4,1 1 1,#t
2 4,1 0 0,#t
2 4,0 0 0,#t
2 4,0 0 1,#t
2 4,1 0 1,#t
2 5 1,0 1,#t
2 5 1,0 0,#t
2 5 1,1 0,#t
2 5 1,1 1,#t
2 6 1,0 1,#t
2 6 1,0 0,#t
2 6 1,1 0,#t
2 6 1,1 1,#t
3 2,0 1 0,#t
3 2,0 1 1,#t
3 2,1 1 0,#t
3 2,1 1 1,#t
3 2,1 0 0,#t
3 2,0 0 0,#t
3 2,0 0 1,#t
3 2,1 0 1,#t
3 3,0 1 0,1
3 3,0 1 1,1;0
3 3,1 1 0,1
3 3,1 1 1,1
3 3,1 0 0,0
3 3,0 0 0,0
3 3,0 0 1,1;0
3 3,1 0 1,0
3 4,0 1 0,#t
3 4,0 1 1,#t
3 4,1 1 0,#t
3 4,1 1 1,#t
3 4,1 0 0,#t
3 4,0 0 0,#t
3 4,0 0 1,#t
3 4,1 0 1,#t
3 5 1,0 1,#t
3 5 1,0 0,#t
3 5 1,1 0,#t
3 5 1,1 1,#t
3 6 1,0 1,#t
3 6 1,0 0,#t
3 6 1,1 0,#t
3 6 1,1 1,#t
7 2,0 1 0,1;0
7 2,0 1 1,1;0
7 2,1 1 0,1;0
7 2,1 1 1,1;0
7 2,1 0 0,0
7 2,0 0 0,0
7 2,0 0 1,0
7 2,1 0 1,0
7 3,0 1 0,0
7 3,0 1 1,1;0
7 3,1 1 0,0
7 3,1 1 1,0
7 3,1 0 0,0
7 3,0 0 0,0
7 3,0 0 1,0
7 3,1 0 1,0
7 4,0 1 0,1;0
7 4,0 1 1,1;0
7 4,1 1 0,1;0
7 4,1 1 1,1;0
7 4,1 0 0,0
7 4,0 0 0,0
7 4,0 0 1,0
7 4,1 0 1,0
8 2,0 1 0,1
8 2,0 1 1,1
8 2,1 1 0,1
8 2,1 1 1,1
8 2,1 0 0,#t
8 2,0 0 0,#t
8 2,0 0 1,1;0
8 2,1 0 1,1;0
8 3,0 1 0,1
8 3,0 1 1,1
8 3,1 1 0,1
8 3,1 1 1,1
8 3,1 0 0,0
8 3,0 0 0,0
8 3,0 0 1,1;0
8 3,1 0 1,0
8 4,0 1 0,1
8 4,0 1 1,1
8 4,1 1 0,1
8 4,1 1 1,1
8 4,1 0 0,#t
8 4,0 0 0,#t
8 4,0 0 1,1;0
8 4,1 0 1,1;0
9 2,0 1 0,#t
9 2,0 1 1,#t
9 2,1 1 0,#t
9 2,1 1 1,#t
9 2,1 0 0,#t
9 2,0 0 0,#t
9 2,0 0 1,#t
9 2,1 0 1,#t
9 3,0 1 0,1
9 3,0 1 1,1;0
9 3,1 1 0,1
9 3,1 1 1,1
9 3,1 0 0,0
9 3,0 0 0,0
9 3,0 0 1,1;0
9 3,1 0 1,0
9 4,0 1 0,#t
9 4,0 1 1,#t
9 4,1 1 0,#t
9 4,1 1 1,#t
9 4,1 0 0,#t
9 4,0 0 0,#t
9 4,0 0 1,#t
9 4,1 0 1,#t
10 2,0 1 0,1;0
10 2,0 1 1,1;0
10 2,1 1 0,1;0
10 2,1 1 1,1;0
10 2,1 0 0,0
10 2,0 0 0,0
10 2,0 0 1,0
10 2,1 0 1,0
10 3,0 1 0,1
10 3,0 1 1,1;0
10 3,1 1 0,1
10 3,1 1 1,1
10 3,1 0 0,0
10 3,0 0 0,0
10 3,0 0 1,0
10 3,1 0 1,0
10 4,0 1 0,1;0
10 4,0 1 1,1;0
10 4,1 1 0,1;0
10 4,1 1 1,1;0
10 4,1 0 0,0
10 4,0 0 0,0
10 4,0 0 1,0
10 4,1 0 1,0
11 2,0 1 0,1
11 2,0 1 1,1
11 2,1 1 0,1
11 2,1 1 1,1
11 2,1 0 0,#t
11 2,0 0 0,#t
11 2,0 0 1,1;0
11 2,1 0 1,1;0
11 3,0 1 0,1
11 3,0 1 1,1
11 3,1 1 0,1
11 3,1 1 1,1
11 3,1 0 0,1
11 3,0 0 0,1
11 3,0 0 1,1;0
11 3,1 0 1,1
11 4,0 1 0,1
11 4,0 1 1,1
11 4,1 1 0,1
11 4,1 1 1,1
11 4,1 0 0,#t
11 4,0 0 0,#t
11 4,0 0 1,1;0
11 4,1 0 1,1;0
17 2,0 1,#t
17 2,0 0,#t
17 2,1 0,#t
17 2,1 1,#t
17 3,0 1,1;0
17 3,0 0,0
17 3,1 0,0
17 3,1 1,0
17 4,0 1,#t
17 4,0 0,#t
17 4,1 0,#t
17 4,1 1,#t
18 2,0 1,#t
18 2,0 0,#t
18 2,1 0,#t
18 2,1 1,#t
18 3,0 1,1;0
18 3,0 0,1
18 3,1 0,1
18 3,1 1,1
18 4,0 1,#t
18 4,0 0,#t
18 4,1 0,#t
18 4,1 1,#t
23 0,0,#t
23 0,1,#t
24 0,0,#t
24 0,1,#t
25 0,0,#t
25 0,1,#t
